var_name,date,value
structures,1970Q3,71.097
equipment,1970Q3,11.078
intellectual,1970Q3,7.209
residential,1970Q3,61.913
gdp,1970Q4,30.473
c,1970Q4,28.142
investment,1970Q4,21.186
fixed_i,1970Q4,23.027
nonresidential,1970Q4,15.79
structures,1970Q4,70.264
equipment,1970Q4,10.494
intellectual,1970Q4,7.091
residential,1970Q4,68.152
gdp,1971Q1,31.301
c,1971Q1,28.682
investment,1971Q1,23.656
fixed_i,1971Q1,23.5
nonresidential,1971Q1,15.92
structures,1971Q1,70.089
equipment,1971Q1,10.671
intellectual,1971Q1,7.098
residential,1971Q1,71.69
gdp,1971Q2,31.47
c,1971Q2,28.946
investment,1971Q2,24.328
fixed_i,1971Q2,24.382
nonresidential,1971Q2,16.137
structures,1971Q2,69.909
equipment,1971Q2,10.931
intellectual,1971Q2,7.178
residential,1971Q2,78.568
gdp,1971Q3,31.729
c,1971Q3,29.176
investment,1971Q3,24.623
fixed_i,1971Q3,24.803
nonresidential,1971Q3,16.208
structures,1971Q3,69.658
equipment,1971Q3,11.007
intellectual,1971Q3,7.272
residential,1971Q3,82.18
gdp,1971Q4,31.804
c,1971Q4,29.661
investment,1971Q4,23.96
fixed_i,1971Q4,25.454
nonresidential,1971Q4,16.54
structures,1971Q4,69.475
equipment,1971Q4,11.386
intellectual,1971Q4,7.432
residential,1971Q4,85.345
gdp,1972Q1,32.389
c,1972Q1,30.052
investment,1972Q1,25.539
fixed_i,1972Q1,26.538
nonresidential,1972Q1,17.067
structures,1972Q1,71.29
equipment,1972Q1,11.818
intellectual,1972Q1,7.597
residential,1972Q1,90.914
gdp,1972Q2,33.124
c,1972Q2,30.624
investment,1972Q2,26.989
fixed_i,1972Q2,26.994
nonresidential,1972Q2,17.345
structures,1972Q2,71.688
equipment,1972Q2,12.087
intellectual,1972Q2,7.725
residential,1972Q2,92.637
gdp,1972Q3,33.436
c,1972Q3,31.096
investment,1972Q3,27.372
fixed_i,1972Q3,27.3
nonresidential,1972Q3,17.599
structures,1972Q3,71.846
equipment,1972Q3,12.376
intellectual,1972Q3,7.789
residential,1972Q3,93.046
gdp,1972Q4,33.996
c,1972Q4,31.826
investment,1972Q4,27.544
fixed_i,1972Q4,28.496
nonresidential,1972Q4,18.442
structures,1972Q4,72.99
equipment,1972Q4,13.323
intellectual,1972Q4,7.891
residential,1972Q4,96.334
gdp,1973Q1,34.838
c,1973Q1,32.407
investment,1973Q1,29.158
fixed_i,1973Q1,29.614
nonresidential,1973Q1,19.216
structures,1973Q1,75.375
equipment,1973Q1,14.058
intellectual,1973Q1,7.982
residential,1973Q1,99.551
gdp,1973Q2,35.217
c,1973Q2,32.392
investment,1973Q2,30.401
fixed_i,1973Q2,29.84
nonresidential,1973Q2,19.93
structures,1973Q2,77.73
equipment,1973Q2,14.707
intellectual,1973Q2,8.098
residential,1973Q2,94.392
gdp,1973Q3,35.032
c,1973Q3,32.506
investment,1973Q3,29.299
fixed_i,1973Q3,29.752
nonresidential,1973Q3,20.237
structures,1973Q3,79.488
equipment,1973Q3,14.888
intellectual,1973Q3,8.188
residential,1973Q3,90.344
gdp,1973Q4,35.364
c,1973Q4,32.409
investment,1973Q4,30.342
fixed_i,1973Q4,29.496
nonresidential,1973Q4,20.389
structures,1973Q4,78.759
equipment,1973Q4,15.128
intellectual,1973Q4,8.293
residential,1973Q4,86.248
gdp,1974Q1,35.06
c,1974Q1,32.119
investment,1974Q1,28.61
fixed_i,1974Q1,28.908
nonresidential,1974Q1,20.368
structures,1974Q1,78.317
equipment,1974Q1,15.14
intellectual,1974Q1,8.31
residential,1974Q1,80.64
gdp,1974Q2,35.144
c,1974Q2,32.235
investment,1974Q2,28.496
fixed_i,1974Q2,28.546
nonresidential,1974Q2,20.333
structures,1974Q2,77.998
equipment,1974Q2,15.112
intellectual,1974Q2,8.344
residential,1974Q2,77.385
gdp,1974Q3,34.811
c,1974Q3,32.373
investment,1974Q3,27.019
fixed_i,1974Q3,28.077
nonresidential,1974Q3,20.126
structures,1974Q3,74.618
